Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
89,18500,Finance & Investments,David Tepper,65,1957,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,TRUE,U,M,President and Founder,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
89,18500,Energy,Gennady Timchenko,70,1952,Moscow,"Oil, gas",Energy,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
92,18000,Finance & Investments,Daniel Gilbert,61,1962,Franklin,Quicken Loans,Finance & Investments,United States,-,TRUE,D,M,-,Michigan,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
93,17700,Metals & Mining,Lakshmi Mittal,72,1950,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),FALSE,D,M,Chairman and CEO,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
94,17500,Finance & Investments,Steve Cohen,66,1956,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,TRUE,U,M,Founder,Connecticut,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
94,17500,Finance & Investments,Carl Icahn,87,1936,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,TRUE,U,M,Founder,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
94,17500,Metals & Mining,Savitri Jindal & family,73,1950,Hisar,Steel,Metals & Mining,India,-,FALSE,D,F,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
97,17400,Real Estate,Donald Bren,90,1932,Newport Beach,Real estate,Real Estate,United States,Irvine Company,TRUE,U,M,Chairman,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
97,17400,Fashion & Retail,"John Menard, Jr.",83,1940,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",TRUE,U,M,Founder,Wisconsin,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
99,17100,Media & Entertainment,Rupert Murdoch & family,92,1931,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,FALSE,D,M,Chairman and CEO,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
100,16700,Finance & Investments,Vicky Safra & family,70,1953,Crans-Montana,Banking,Finance & Investments,Brazil,-,FALSE,U,F,-,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
